Name,ISO,Code
Bolivia,BOL,68
Brunei,BRN,96
Congo (Brazzaville),COG,178
Congo (Kinshasa),COD,180
"Cote d'Ivoire",CIV,384
"Gambia, The",GMB,270
Iran,IRN,364
Kosovo,XKX,0
Laos,LAO,418
Libya,LBY,434
Macedonia,MKD,807
Micronesia,FSM,583
Moldova,MDA,498
North Korea,PRK,408
Russia,RUS,643
South Korea,KOR,410
South Sudan,SSD,728
Syria,SYR,760
Taiwan,TWN,158
Tanzania,TZA,834
United States of America,USA,840
Venezuela,VEN,862
Vietnam,VNM,704
Cote D'Ivorie,CIV,384
Guinea-Bissaue,GNB,624
Malysia,MYS,458
Palestine,PSE,275
Vanautu,VUT,548
"Saint Kitts and Nevis ",KNA,659
Labanon,LBN,422
Liectenstein,LIE,438
Vatican City,VAT,336
Bahrian,BHR,48
New Zeland,NZL,554
Pakistant,PAK,586
Curaçao,CUW,531
Sint Maarten (Dutch part),SXM,534
"Bonaire, Sint Eustatius and Saba",BES,535
"Congo, Dem. Rep.",COD,180
Kyrgyz Republic,KGZ,417
"Yemen, Rep.",YEM,887
"Congo, Rep.",COG,178
Lao PDR,LAO,418
