Name,ISO
Bolivia,BOL
Brunei,BRN
Congo (Brazzaville),COG
Congo (Kinshasa),COD
"Cote d'Ivoire",CIV
"Gambia, The",GMB
Iran,IRN
Kosovo,UNK
Laos,LAO
Libya,LBY
Macedonia,MKD
Micronesia,FSM
Moldova,MDA
North Korea,PRK
Russia,RUS
South Korea,KOR
South Sudan,SSD
Syria,SYR
Taiwan,TWN
Tanzania,TZA
United States of America,USA
Venezuela,VEN
Vietnam,VNM
"Congo, Dem. Rep.",COD
"Kyrgyz Republic",KGZ
"Yemen, Rep.",YEM
"Congo, Rep.",COG
"Lao PDR",LAO
"West Bank and Gaza",WEGZ
"Micronesia, Fed. Sts.",FSM
"Egypt, Arab Rep.",EGY
"Cabo Verde",CPV
"Macedonia, FYR",MKD
"Iran, Islamic Rep.",IRN
"St. Lucia",LCA
"Slovak Republic",SVK
"Venezuela, RB",VEN
"Korea, Rep.",KOR
"Cote D'Ivorie",CIV
"Guinea-Bissaue",GNB
"Malysia",MYS
"Palestine",PSE
"Vanautu",VUT
"Saint Kitts and Nevis ",KNA
"Labanon",LBN
"Liectenstein",LIE
"Vatican City",VAT
"Bahrian",BHR
"New Zeland",NZL
"Pakistant",PAK
"Macau",MAC
"Falkland Islands",FLK
"British Virgin Islands",VGB
"Sint Maarten",SXM
"Virgin Islands",VIR
"Curacao",CUW
"Saint Helena Ascension and Tristan da Cunha",SHN
"The Bahamas",BHS
"Federated States of Micronesia",FSM
"Gaza Strip",WEGZ
"Cocos Islands",CCK
"Bolivia (Plurinational State of)",BOL
"Bonaire, Sint Eustatius and Saba",BES
"China, Hong Kong Special Administrative Region",HKG
"China, Macao Special Administrative Region",MAC
"Curaçao",CUW
"Democratic People's Republic of Korea",PRK
"Democratic Republic of the Congo",COD
"Faeroe Islands",FRO
"Holy See",VAT
"Iran (Islamic Republic of)",IRN
"Micronesia (Federated States of)",FSM
"Republic of Korea",KOR
"Republic of Moldova",MDA
"Saint Helena",SHN
"Sint Maarten (Dutch part)",SXM
"State of Palestine",PSE
"The former Yugoslav Republic of Macedonia",MKD
"United Kingdom of Great Britain and Northern Ireland",GBR
"United Republic of Tanzania",TZA
"United States Virgin Islands",VIR
"Venezuela (Bolivarian Republic of)",VEN
"Wallis and Futuna Islands",WLF
